root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 025 | Loss: 0.1130 | Val Acc: 0.9575 | Val F1: 0.9542
Epoch 026 | Loss: 0.1121 | Val Acc: 0.9575 | Val F1: 0.9543
Epoch 027 | Loss: 0.0989 | Val Acc: 0.9612 | Val F1: 0.9584
Epoch 028 | Loss: 0.0958 | Val Acc: 0.9660 | Val F1: 0.9633
Epoch 029 | Loss: 0.0895 | Val Acc: 0.9650 | Val F1: 0.9623
Epoch 030 | Loss: 0.0868 | Val Acc: 0.9669 | Val F1: 0.9644
Epoch 031 | Loss: 0.0768 | Val Acc: 0.9698 | Val F1: 0.9675
Epoch 032 | Loss: 0.0799 | Val Acc: 0.9716 | Val F1: 0.9695
Epoch 033 | Loss: 0.0770 | Val Acc: 0.9726 | Val F1: 0.9705
Epoch 034 | Loss: 0.0706 | Val Acc: 0.9735 | Val F1: 0.9715
Epoch 035 | Loss: 0.0696 | Val Acc: 0.9745 | Val F1: 0.9725
Epoch 036 | Loss: 0.0703 | Val Acc: 0.9707 | Val F1: 0.9683
Epoch 037 | Loss: 0.0603 | Val Acc: 0.9726 | Val F1: 0.9704
Epoch 038 | Loss: 0.0688 | Val Acc: 0.9745 | Val F1: 0.9726
Epoch 039 | Loss: 0.0658 | Val Acc: 0.9735 | Val F1: 0.9716
Epoch 040 | Loss: 0.0584 | Val Acc: 0.9735 | Val F1: 0.9716
Epoch 041 | Loss: 0.0603 | Val Acc: 0.9735 | Val F1: 0.9716
Epoch 042 | Loss: 0.0604 | Val Acc: 0.9735 | Val F1: 0.9716
Epoch 043 | Loss: 0.0624 | Val Acc: 0.9735 | Val F1: 0.9716
Epoch 044 | Loss: 0.0531 | Val Acc: 0.9745 | Val F1: 0.9726
Epoch 045 | Loss: 0.0569 | Val Acc: 0.9745 | Val F1: 0.9726
Epoch 046 | Loss: 0.0573 | Val Acc: 0.9735 | Val F1: 0.9716
Epoch 047 | Loss: 0.0510 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 048 | Loss: 0.0527 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 049 | Loss: 0.0529 | Val Acc: 0.9698 | Val F1: 0.9677
Epoch 050 | Loss: 0.0569 | Val Acc: 0.9754 | Val F1: 0.9737
Epoch 051 | Loss: 0.0532 | Val Acc: 0.9754 | Val F1: 0.9737
Epoch 052 | Loss: 0.0518 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 053 | Loss: 0.0470 | Val Acc: 0.9716 | Val F1: 0.9697
Epoch 054 | Loss: 0.0448 | Val Acc: 0.9698 | Val F1: 0.9677
Epoch 055 | Loss: 0.0444 | Val Acc: 0.9726 | Val F1: 0.9707
Epoch 056 | Loss: 0.0448 | Val Acc: 0.9735 | Val F1: 0.9717
Epoch 057 | Loss: 0.0426 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 058 | Loss: 0.0431 | Val Acc: 0.9735 | Val F1: 0.9717
Epoch 059 | Loss: 0.0446 | Val Acc: 0.9726 | Val F1: 0.9707
Epoch 060 | Loss: 0.0424 | Val Acc: 0.9726 | Val F1: 0.9707
Epoch 061 | Loss: 0.0443 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 062 | Loss: 0.0401 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 063 | Loss: 0.0396 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 064 | Loss: 0.0413 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 065 | Loss: 0.0418 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 066 | Loss: 0.0380 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 067 | Loss: 0.0412 | Val Acc: 0.9754 | Val F1: 0.9737
Epoch 068 | Loss: 0.0379 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 069 | Loss: 0.0373 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 070 | Loss: 0.0380 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 071 | Loss: 0.0363 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 072 | Loss: 0.0333 | Val Acc: 0.9754 | Val F1: 0.9737
Epoch 073 | Loss: 0.0372 | Val Acc: 0.9754 | Val F1: 0.9737
Epoch 074 | Loss: 0.0355 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 075 | Loss: 0.0367 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 076 | Loss: 0.0343 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 077 | Loss: 0.0320 | Val Acc: 0.9764 | Val F1: 0.9747
